Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
4/7/2019 9:38,SocialReport.com,homes4income,0,10059,10667,[],,,NULL,0,Tampa FL,FALSE,238,347,FALSE,"Not a bad replacement location at all.... Fly Bar will re-open at the apex of the Grand Central block, facing Snow…"
4/7/2019 9:38,SocialReport.com,RafiCastro,0,544,804,[],,,NULL,1,"Tampa, FL",FALSE,36,6,TRUE,"Not a bad replacement location at all.... Fly Bar will re-open at the apex of the Grand Central block, facing Snow…"
4/7/2019 9:38,SocialReport.com,RaymondBasden,0,205,439,[],,,NULL,0,Tampa,FALSE,0,67,TRUE,"Not a bad replacement location at all.... Fly Bar will re-open at the apex of the Grand Central block, facing Snow…"
4/7/2019 9:32,Twitter Web Client,BBurnsNHL,4,12873,454,[],,,NULL,28,"Tampa, FL",TRUE,390,1674,TRUE,"Tampa Bay swept First Round playoff opponent Columbus during the regular season, outscoring the Blue Jackets 17-3.…"
4/7/2019 9:31,TweetDeck,FloraDuh1,9,928,1340,[],,,NULL,0,This is who I am --,FALSE,38,598,FALSE,"RT @BN9: ""It’s a rule that doesn’t solve anything but kills an entire industry."" Read what iconic Tampa Bay industry Sen. Marco Rubio is r…"
4/7/2019 9:24,Twitter for iPad,TheUBSoldiers,5,3281,4261,[],,,NULL,0,"Columbus, OH",FALSE,44,149520,FALSE,"RT @1stOhioBattery: Here's the Blue Jackets' complete first-round schedule against Tampa Bay, including game times, TV networks, and more.…"
4/7/2019 9:24,Facebook,Huntress2481,0,183,421,[],,,NULL,0,"Clyde,Ohio",FALSE,11,1034,TRUE,Bufo toad kills another Florida dog as poisonous invader leaps north
4/7/2019 9:23,SocialNewsDesk,BN9,9,372245,333,[],,,NULL,15,Tampa Bay area,TRUE,1745,1154,TRUE,"""It’s a rule that doesn’t solve anything but kills an entire industry."" Read what iconic Tampa Bay industry Sen. M…"
4/7/2019 9:22,dlvr.it,ThoroughWiz,0,483,898,[],,,NULL,3,"New York, USA",FALSE,15,3172,FALSE,"Rotstein, Cameron Celebrate ‘Thrilling’ First Training Victories At Tampa: Tyler Rotstein was trying to keep his em…"
4/7/2019 9:20,Twitter for iPhone,JPPetersonSprts,31,6177,959,[],,,NULL,0,Tampa FL,FALSE,135,6392,TRUE,"RT @TBLightning: We’ll open our First Round series against Columbus at home at @amaliearena on Wednesday, April 10! See ya there. ⚡️ #Stan…"
