,id,Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
2146,1115387827372593152,2019/04/08 17:55:55,IFTTT,cl_music,0,6117,477,[],,,NULL,0,"Tampa Bay, FL",False,178,1044,True,ZZ Top will bring their 50th Anniversary tour to Tampa this fall
2147,1115387158234312706,2019/04/08 17:53:16,SocialNewsDesk,BN9,3,372246,333,[],,,NULL,3,Tampa Bay area,True,1745,1154,True,"""It was pretty much get out of there and get off the sinking ship cause it's going down. We ain't stopping it."" The…"
2148,1115386710538502144,2019/04/08 17:51:29,Twitter for Android,Baby71Bolts,19,216,262,[],,,NULL,0,"Tampa, FL",False,0,10099,False,RT @TBLightning: Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a watch pa…
2149,1115386483723075590,2019/04/08 17:50:35,Twitter for Android,Tampa_Bay_fan,2282,962,1912,[],,,NULL,0,Florida,False,8,2096,False,"RT @FlaPanthers: Quenneville has arrived. Welcome to South Florida, Coach Q »"
2150,1115385281774084096,2019/04/08 17:45:48,Twitter for iPhone,TampaBayFamily,19,21571,21428,[],,,NULL,0,"Tampa Bay, FL",False,237,8862,True,RT @TBLightning: Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a watch pa…
2151,1115385040861577216,2019/04/08 17:44:51,Twitter for iPhone,kaywash6,11,758,626,[],,,NULL,0,386➡️772 ➡️803,False,4,34038,True,RT @D2SSC: Sunshine State Conference Weekly Awards for April 1st - 7th! 🌴☀️🌊 Tampa's Makaleigh Dooley and Ross Dickerson continue to m…
2152,1115384979314360320,2019/04/08 17:44:36,Twitter for iPhone,JoannaCocoGrove,0,1792,1793,[],,,NULL,0,Citizen of the world,False,32,88743,True,Rising Seas May Mean Tampa Bay Floods Even During Sunny Days | WUSF News
2153,1115384109411590145,2019/04/08 17:41:09,Twitter Web Client,MackFeldman,0,93,429,[],,,NULL,0,"St Petersburg, FL",False,10,7044,False,"Tampa mayoral candidate talks startups, new initiative with business leaders via @tbbjnewsroom"
2154,1115382791775113216,2019/04/08 17:35:55,Twitter for iPhone,PuggieSue,7,237,94,[],,,NULL,0,Florida,False,1,8382,False,"RT @BN9: BREAKING 1 day after Homeland Security secretary's resignation, US Secret Service director leaving:"
2155,1115382702029590529,2019/04/08 17:35:33,IFTTT,rayroa,0,1394,685,[],,,NULL,0,"Tampa, Fla.",False,65,4524,True,ZZ Top will bring their 50th Anniversary tour to Tampa this fall
2156,1115380392276586496,2019/04/08 17:26:22,Twitter for Android,peterkuoGOP,4,902,712,[],,,NULL,0,Santa Clara,False,14,529,True,RT @TheYappie: 2020 WATCH: @GOP names Marcia Lee Kelly as president of the Republican National Convention in Charlotte. A first generation…
2157,1115379471144628224,2019/04/08 17:22:43,Twitter for iPhone,tonycfa,0,7673,8020,"[{'text': 'GoBolts', 'indices': [0, 8]}, {'text': 'Tampa', 'indices': [9, 15]}, {'text': 'TampaBay', 'indices': [16, 25]}, {'text': 'StanleyCup', 'indices': [26, 37]}, {'text': 'NHLPlayoffs', 'indices': [38, 50]}]",,,NULL,0,"TAMPA, OHIO, CLT, LOS ANGELES ",False,120,7709,False,#GoBolts #Tampa #TampaBay #StanleyCup #NHLPlayoffs 🏒🥅 *Mayor Buckhorn Unveils Large ‘GoBolts’ Banner At Tampa C…
2158,1115379427729272832,2019/04/08 17:22:32,MLBNewsNow,MLB_News247,0,475,327,[],,,NULL,0,unit,False,7,0,False,SIMMONS: It's Stanley Cup or bust for Tampa Bay Lightning - National Hockey League News -
2159,1115378666656227328,2019/04/08 17:19:31,Twitter Web Client,pdtokar_author,2,576,5004,[],,,NULL,0,"Welland, Ontario",False,6,1002,False,"RT @BN9: WATCH: Our @RICKELMHORST introduces you to Lakeland welder Brian Buttera, who is ready to dive into building custom motorcycles fu…"
2160,1115378005273141250,2019/04/08 17:16:53,TweetDeck,USFBulls_Rivals,0,2419,401,"[{'text': 'USF', 'indices': [0, 4]}]",,,NULL,8,Tampa Bay,False,40,176,True,#USF CB target Christian Miller from Hilton Head talks about the Bulls and his time in Tampa at the…
2161,1115376804712333313,2019/04/08 17:12:07,Twitter for Android,WICKEDLADYBOLT,19,89,163,[],,,NULL,0,"Tampa, FL",False,4,9960,True,RT @TBLightning: Don’t have a ticket to Game 1? Stick around at Curtis Hixon on Wednesday after the @cagetheelephant concert for a watch pa…
2162,1115376580350464000,2019/04/08 17:11:14,Twitter for Android,RachelRoh,4,246,1297,[],,,NULL,0,"Montrose, CA",False,6,2287,False,RT @TheYappie: 2020 WATCH: @GOP names Marcia Lee Kelly as president of the Republican National Convention in Charlotte. A first generation…
